campaign_id,name,description,status,priority,start_date,end_date,notification_type,template_short,template_long,created_at
C15,New User Welcome Offers,"Promote offers for newly joined users.",active,5,2025-10-01,2026-12-31,promotional,"Welcome! Enjoy special offers 🎉","Start exploring with exclusive welcome deals just for new users.",2025-09-28T08:00:00Z
C16,Returning User Offers,"Promote re-engagement promos.",active,3,2025-11-01,2026-12-31,promotional,"Welcome back! 👋","We've picked special offers to help you rediscover your favorites.",2025-10-25T09:00:00Z
C17,Anniversary Sale,"Promote platform anniversary discounts.",active,5,2026-01-01,2026-01-10,promotional,"Celebrate with us! 🎉","Enjoy exclusive anniversary discounts for a limited time.",2025-12-25T10:15:00Z
C18,Midnight Madness Sale,"Promote late-night offers.",active,3,2025-10-15,2025-10-16,promotional,"Late-night deals start now 🌙","Shop exclusive midnight-only discounts until sunrise.",2025-10-14T23:00:00Z
C19,Flash Price Drop,"Promote limited-time price drops.",active,4,2026-02-10,2026-02-12,promotional,"Big discounts just dropped! 🔥","Grab your wishlist items at incredible prices for a short time only.",2026-02-08T12:00:00Z
C20,Brand Showcase,"Promote selected brand’s top items.",active,3,2026-01-15,2026-02-15,promotional,"Your favorite brands, now on sale ⭐","Explore top picks from featured brands with exclusive offers.",2026-01-10T09:30:00Z
C21,Men’s Collection Promo,"Promote men’s fashion.",active,3,2026-01-01,2026-12-31,promotional,"Fresh picks for men 👔","Upgrade your wardrobe with trending menswear styles.",2025-12-28T10:00:00Z
C22,Women’s Fashion Deals,"Promote women’s styles.",active,4,2026-01-01,2026-12-31,promotional,"Stunning styles for women ✨","Explore the latest trends in women’s fashion with exclusive deals.",2025-12-28T10:00:00Z
C23,Kids Collection Promo,"Promote kidswear.",active,3,2026-03-01,2026-06-01,promotional,"New looks for little ones 👶","Shop adorable kidswear for every season and style.",2026-02-25T11:00:00Z
C24,Home Essentials Sale,"Promote home goods.",active,3,2026-01-10,2026-02-10,promotional,"Make your home cozy 🏡","Discover essential home products at special prices.",2026-01-05T10:00:00Z
C25,Beauty & Skincare Offers,"Promote beauty items.",active,3,2026-01-01,2026-12-31,promotional,"Glow up for less ✨","Explore beauty, skincare, and self-care essentials on sale now.",2025-12-28T10:00:00Z
C26,Valentine’s Specials,"Promote romantic gifts.",active,5,2026-02-01,2026-02-15,promotional,"Gifts they'll love ❤️","Surprise your loved ones with romantic and thoughtful gift picks.",2026-01-25T09:45:00Z
C27,Mother’s Day Offers,"Promote gifts for moms.",active,4,2026-05-01,2026-05-12,promotional,"Celebrate mom with special gifts 💐","Show love with curated gifts and exclusive deals for Mother’s Day.",2026-04-20T11:00:00Z
C28,Father’s Day Deals,"Promote gifts for dads.",active,4,2026-06-01,2026-06-20,promotional,"Gifts dad will love 👔","Find the perfect Father’s Day gift across curated picks.",2026-05-20T11:00:00Z
C29,Holiday Mega Sale,"Promote peak season holiday shopping.",active,5,2025-12-10,2025-12-26,promotional,"Holiday deals are live! 🎄","Shop massive holiday savings across categories.",2025-12-05T12:00:00Z
C30,Gifts Under $50,"Promote budget-friendly gifts.",active,3,2026-01-01,2026-02-01,promotional,"Great gifts under $50 🎁","Find thoughtful, affordable gifts for every occasion.",2025-12-30T10:00:00Z
C31,Style Refresh,"Promote seasonal style refresh.",active,3,2026-03-01,2026-03-31,promotional,"Refresh your style ✨","Update your wardrobe with seasonal must-haves.",2026-02-25T12:00:00Z
C32,Clearance Blowout,"Promote massive clearance deals.",active,5,2026-01-01,2026-01-15,promotional,"Final clearance! 🔥","Last chance to grab clearance items at unbeatable prices.",2025-12-28T10:00:00Z
C33,Trending Now,"Promote trending products.",active,3,2026-01-01,2026-12-31,promotional,"Trending now ⭐","Shop popular items everyone is talking about.",2025-12-30T09:00:00Z
C34,Weekly Highlights,"Promote weekly featured picks.",active,3,2026-01-01,2026-12-31,promotional,"This week’s highlights ✨","Explore curated weekly favorites across categories.",2025-12-28T10:00:00Z
C35,Bestsellers Weekend,"Promote weekend-only deals.",active,4,2026-02-10,2026-02-12,promotional,"Weekend bestsellers are live! 🎉","Shop limited-time deals on our most-loved items.",2026-02-08T11:00:00Z
C36,Workwear Essentials,"Promote office fashion.",active,3,2026-01-01,2026-12-31,promotional,"Workwear essentials to elevate your look 👔","Upgrade your office wardrobe with timeless and professional styles.",2025-12-30T11:00:00Z
C37,Denim Days,"Promote jeans and denim.",active,4,2026-03-01,2026-04-01,promotional,"Denim deals you’ll love 👖","Get stylish denim essentials at special prices.",2026-02-20T10:00:00Z
C38,Sports & Activewear Promo,"Promote fitness wear.",active,4,2026-01-01,2026-05-01,promotional,"Get active in style 💪","Shop top activewear picks for your fitness journey.",2025-12-30T12:00:00Z
C39,Shoe Fest,"Promote footwear sale.",active,4,2026-02-01,2026-03-01,promotional,"Step into savings 👟","Enjoy amazing deals on all footwear categories.",2026-01-25T10:30:00Z
C40,Handbags Special,"Promote bags & purses.",active,3,2026-01-01,2026-12-31,promotional,"Must-have handbags on sale 👜","Discover stylish bags that complement any look.",2025-12-29T09:00:00Z
C41,Jewelry Picks,"Promote jewelry.",active,3,2026-02-01,2026-04-01,promotional,"Sparkle for less ✨","Find stunning jewelry pieces at irresistible prices.",2026-01-28T12:00:00Z
C42,Winter Warmers,"Promote sweaters, jackets.",active,4,2025-11-01,2026-02-01,promotional,"Stay warm and stylish ❄️","Discover cozy layers perfect for the winter season.",2025-10-28T10:30:00Z
C43,Graphic Tee Fest,"Promote t-shirts.",active,3,2026-01-15,2026-03-15,promotional,"Graphic tees are trending 🎨","Shop creative and fun designs at exciting prices.",2026-01-10T11:00:00Z
C44,Loungewear Love,"Promote lounge & comfort wear.",active,3,2026-01-01,2026-06-01,promotional,"Comfort never felt this good 😌","Explore cozy loungewear that’s perfect for relaxing days.",2025-12-28T10:00:00Z
C45,Winter Boots Sale,"Promote boots.",active,4,2025-11-15,2026-01-31,promotional,"Boots for every winter adventure ❄️","Step into warmth with stylish, durable boots on sale.",2025-11-10T08:45:00Z
C46,Holiday Gift Guide,"Promote gift picks.",active,5,2025-12-01,2025-12-25,promotional,"Find the perfect gift 🎁","Shop curated gift collections for everyone on your list.",2025-11-25T10:00:00Z
C47,Pet Collection Promo,"Promote pet products.",active,3,2026-01-01,2026-12-31,promotional,"Treat your pets 🐾","Explore adorable and useful pet products on sale.",2025-12-30T10:30:00Z
C48,Travel Essentials Sale,"Promote luggage & accessories.",active,3,2026-01-01,2026-07-01,promotional,"Travel smarter ✈️","Get great deals on travel bags, essentials, and accessories.",2025-12-28T10:00:00Z
C49,Sneaker Showcase,"Promote sneakers.",active,4,2026-02-01,2026-04-01,promotional,"Sneaker deals you can't miss 👟","Shop the hottest sneakers at limited-time prices.",2026-01-25T11:00:00Z
C50,Spring Refresh Sale,"Promote seasonal spring deals.",active,4,2026-03-01,2026-04-30,promotional,"Spring deals are blooming 🌼","Refresh your look with exclusive springtime offers.",2026-02-20T10:00:00Z
